german	russian
charakterisieren	характеризовать
cool	клёвый
dunkel, dunkler, am dunkelsten	тёмный
das Durchschnittsalter (Sg.)	средний возраст
elementar	элементарный
das Fazit, -s	итог, вывод
das Haar, -e	волосы
humorlos	лишённый чувства юмора
klingen, klingt, klang, hat geklungen	звучать
der/die Kommunikationsberater/in, -/-nen	консультант по вопросам коммуникации
schlank	стройный
die Schuhgröße, -n	размер обуви
spacig	шальной
die Sprachpsychologie (Sg.)	психология языка, лингвопсихология
das Sprachverhalten (Sg.)	вербальное (словесное) поведение
temperamentvoll	темпераментный
unterhalten (sich) (mit + D.) (über + A.), unterhält sich, unterhielt sich, hat sich unterhalten	беседовать
vermeintlich	предполагаемый, мнимый
weder ... noch	ни... ни
abonnieren	подписываться, приобретать абоннемент
anscheinend	по-видимому
ausgelassen (Du hast wirklich einen ausgelassenen Psycho!)	озорной, резвый (У тебя действительно озорная психика.)
geil (ugs.)	отличный, классный, клёвый
genießen, genießt, genoss, hat genossen	наслаждаться
gestrig	вчерашний
die Grundsatzfrage, -n	принципиальный вопрос
jemals	когда-либо
kränken (Es kränkt mich sehr, wenn du solche gemeinen Dinge sagst.)	обижать, оскорблять, задевать (Мне очень обидно, когда ты говоришь такие ужасные вещи.)
das Lebensalter (Sg.)	возраст
das Nagelstudio, -s	салон по уходу за ногтями
nahetreten, tritt nahe, trat nahe, ist nahegetreten (Meine Frage war zu direkt. Ich bin ihm zu nahegetreten.)	сближаться (Мой вопрос был очень прямым. Этим я подошла к нему очень близко.)
niemals	никогда
die Psychose, -n	психоз, помешательство
schließen (von + D.) (auf + A.), schließt, schloss, hat geschlossen (Ich schließe von ihrer Kleidung auf ihr Alter.)	судить (Я сужу по её одежде о её возрасте.)
der/die Sprachpsychologe/ Sprachpsychologin, -n/-nen	лингвопсихолог
die Tanzschule, -n	школа танца
das Teekränzchen, -	чайный сбор
der Tod, -e	смерть
vorkommen, kommt vor, kam vor, ist vorkommen	казаться
weltfremd	не от мира сего
zurückkommen, kommt zurück, kam zurück, ist zurückgekommen	вернуться
der Familienstand (Sg.)	семейное положение
der Steckbrief, -e	объявление о розыске
zierlich	изящный
empfinden, empfindet, empfand, hat empfunden	чувствовать, ощущать
melden (sich) (bei + D.) (Leo meldet sich nicht mehr bei ihr.)	дать о себе знать (Лео не даёт ей о себе знать.)
wundern (sich) (über + A.)	удивлять
zweierlei	двояко
abschicken	отправлять
absinken, sinkt ab, sank ab, ist abgesunken	понижаться, опускаться
allesamt	все вместе
aufregend	волнующий
ausgehen (von + D.), geht aus, ging aus, ist ausgegangen (Ich gehe davon aus, dass ich heute um 16 Uhr nach Hause gehen kann.)	исходить (Я исхожу из того, что сегодня в четыре я могу прийти домой.)
banal	банальный
die Begegnung, -en	встреча
der Bruchteil, -e	доля
das Gegenteil, -e	противоположность
heikel, heikler, am heikelsten	щепетильный
das Liebe (Sg.) (Alles Liebe, ...)	любовь (Всего доброго.)
löschen (eine E-Mail löschen)	удалить (удалить электронное сообщение)
die Mailbox, -en	почтовый ящик
der Punkt, - (ein heikler Punkt)	вопрос (щепетильный вопрос)
der Rahmen, -	рамка, предел
die Textsorte, -n	тип текста
die Verteidigung, -en	защита
von vornherein (Dass wir kein Paar werden, war von vornherein klar.)	с самого начала, сразу (То, что мы не станем парой, было понятно с самого начала.)
wegschicken	отправить
wenigstens	по меньшей мере
das Happy End, -s	счастливый конец
der Abschluss, "-e	окончание
alle (Alle zwei Jahre kommen unsere Verwandten aus Australien zu Besuch.)	все, каждый (Каждые два года к нам в гости приезжают родственники из Австралии.)
alleinstehend	одинокий, холостой
alltäglich	ежедневный
der Beziehungsroman, -e	роман
die Buchform (Sg.) (Die Kolumnen erscheinen in Buchform.)	форма книги (Статьи выходят в форме книги.)
der Buchpreis, -e	конкурс лучшей книги
dabei (Wenige kennen ihn, dabei ist er einer der erfolgreichsten Maler der Welt.)	при этом (Немногие знают его, а ведь он один из самых успешных художников на свете.)
entspannt	расслабленый
erscheinen, erscheint, erschien, ist erschienen (Sein letztes Buch ist 2014 erschienen.)	появляться, выходить из печати (Его последняя книга появилась в 2014 году.)
die Gerichtsreportage, -n	судебный репортаж
der/die Journalist/in, -en/-nen	журналист
journalistisch	журналистский
die Kolumne, -n (Er schreibt eine Kolumne für die Zeitung.)	полоса, колонка (Он пишет одну колонку в газете.)
die Kunstgeschichte (Sg.)	история искусства
der Liedtext, -e	текст песни
die Literatur (Sg.)	литература
markant	видный, заметный
millionenfach	миллионный
nebenher	наряду с этим
nominieren	выдвигать, номинировать
die Pädagogik (Sg.)	педагогика
pendeln (zwischen + D.)	колебаться
philosophieren	философствовать
der Psychothriller, -	психологический триллер
recht (Er ist recht freundlich.)	весьма, очень (Он весьма дружелюбен.)
die Redaktion, -en	редакция
relativ	относительно, сравнительно
der/die Schriftsteller/in, -/-nen	писатель
der Sprachraum, "-e	языковая область, область распространения языка
die Tageszeitung, -en	ежедневная газета
die Titelseite, -n	титульная страница
umrandet (eine dunkel umrandete Brille)	окантованый (очки с тёмной оправой)
verfassen	составить, сочинить, написать
verheiratet	женатый, замужняя
veröffentlichen	опубликовать
der Ausgangspunkt, -e	исходный пункт, отправная точка
denken (sich), denkt sich, dachte sicht, hat sich gedacht (Ich denke mir oft, dass ...)	думать (Я часто думаю о том, что...)
kämmen (sich/jdn.)	причёсывать
verschweigen, verschweigt, verschwieg, hat verschwiegen	умалчивать
waschen, wäscht, wusch, hat gewaschen	мыть
eher (Bist du eher Frühaufsteher oder Langschläfer?)	скорее, более (Ты жаворонок или, скорее, сова?)
lästig	надоедливый, докучливый
ausgehen, geht aus, ging aus, ist ausgegangen (Die Lichter gehen um 23 Uhr aus.)	выключаться (Свет выключается в 23 часа.)
der Eiskasten, "- (österr.)	холодильник
das Frühstück, -e	завтрак
das Kühlregal, -e	холодильник, холодильная витрина
loswerden, wird los, wurde los, ist losgeworden (Ich werde das Gefühl nicht los, dass hier etwas nicht stimmt.)	избавиться (Я не могу избавиться от чувства, что здесь что-то не так.)
die Seife, -n	мыло
der Strom (Sg.)	ток
das Taschentuch, "-er	носовой платок
wunderschön	прекрасно
die Melodie, -n	мелодия
der Rhythmus, Rhythmen	ритм
aufmerksam	внимательный
das Blättchen, -	листок
dabei haben	иметь при себе
der Dreck (Sg.)	грязь
drücken	нажать
der Durchblick (Sg.)	вид
edel, edler, am edelsten	благородный
entfernen (Ich entferne Staub und Dreck mit einem feuchten Tuch.)	удалять, устранять (Я вытираю пыль и грязь влажной тряпкой.)
ertönen	звучать
die Ferne (Sg.)	даль
das Fernglas, "-er	бинокль
der Flaschenhals, "-e	горлышко бутылки
der Fleck, -en	пятно
der/die Gastgeber/in, -/-nen	хозяин, принимающий гостей
gedeckt (der gedeckte Tisch)	накрытый (накрытый стол)
das Gerät, -e	устройство
die Hosentasche, -n	карман в штанах
der Inlineskate, -s	ролики, роликовые коньки
jederzeit	в любое время
der Kekskrümel, -	крошка от печенья
die Klingel, -n	звонок
das Lächeln (Sg.)	улыбка
die Lupe, -n	лупа
die Produktbeschreibung, -en	описание продукта
der/die Radfahrer/in, -/-nen	велосипедист
der Ring, -e	кольцо
der Rotwein, -e	красное вино
rund (Der Ball ist rund.)	круглый (Мяч круглый.)
schenken (Er schenkt Wein in die Gläser.)	разливать (Он разливает вино в бокалы.)
sichtbar	видимый
der Staub (Sg.)	пыль
stecken (Steck ihr einen Ring an den Finger.)	вставить, надеть (Надень ей кольцо на палец.)
die Streichholzschachtel, -n	спичечный коробок
die Tastatur, -en	клавиатура
die Taste, -n	клавиша
die Tischdecke, -n	скатерть
der Tropfenfänger, -	каплеуловитель
überhören	недослышать
unappetitlich	неаппетитный
unerwünscht	нежелательный
weiß	белый
winzig	смешной, весёлый
zusammenrollen	сворачивать в трубку
abheben, hebt ab, hob ab, hat abgehoben (Oh, mein Geldbeutel ist leer. Ich muss noch Geld abheben.)	снять (деньги в банкомате) (Ой, мой кашелёк пуст. Мне нужно снять ещё денег.)
klingeln	звонить
die Kurve, -n	кривая линия, поворот дороги
der Staubsauger, -	пылесос
umschreiben, schreibt um, schrieb um, hat umgeschrieben (Der Satz stimmt leider nicht. Du musst ihn noch mal umschreiben.)	переписать (Предложение неверно. Ты должен его ещё раз переписать.)
der Joggingschuh, -e	обувь для бега
der Markt, "-e	рынок
die Münze, -n	монета
werfen, wirft, warf, hat geworfen	бросать
feucht	влажный
die Kundenbewertung, -en	оценка клиентов
meist	чаще всего
putzen	чистить
reinigen	очищать
schmutzig	грязный
teilen (Ich teile den Kuchen.)	делить (Я делю пирог.)
bestehen (aus + D.), besteht, bestand, hat bestanden (Die Nachspeise besteht aus Milch, Zucker ...)	состоять (Дессерт состоит из молока, сахара ...)
breit (Der Gegenstand ist ungefähr so breit wie meine Hand.)	широкий (Предмет шириной приблизительно в мою руку.)
dick	толстый
dünn	тонкий, худой
eckig	угловатый
eignen (sich) (für + A.)	подходить, быть подходящим
flach	плоский
gebogen	согнутый
die Größe, -n	размер
hohl	пустой, полый
das Holz, "-er	древесина, дерево (материал)
das Leder (Sg.)	кожа
das Metall, -e	метал
oval	овальный
das Plastik (Sg.)	пластик
der Produktname, -n	название продукта
die Umschreibung, -en	описание
ungefähr	приблизительно
die Konsumgesellschaft, -en	общество потребителей
die Gesprächsrunde, -n	беседа за круглым столом
das Konsumverhalten (Sg.)	потребительское поведение
der Talkgast, "-e	гость ток-шоу
der Konsum (Sg.)	потребление
reduzieren (auf + A.)	сокращать, уменьшать
beurteilen	судить, оценивать
heißen, heißt, hieß, hat geheißen (sich zu entspannen heißt, den Kopf abzuschalten.)	называться (Расслабиться - это отключть голову.)
konsumieren	потреблять
vermitteln	сообщать, передавать (знания)
der Wert, -e (Wir müssen unseren Kindern gesellschaftliche Werte vermitteln.)	ценность (Мы должны передать нашим детям общественные ценности.)
zugunsten (+ G.)	в пользу, на пользу
da (Ich komme oft erst spät aus der Arbeit, da ich viel zu tun habe.)	потому что (Я часто прихожу поздно с работы домой, потому что у меня много дел.)
die Einstellung, -en	установка, точка зрения, взгляд
unnötig	ненужный
der Tauschring, -e	обмен по кругу
anpreisen	хвалить, рекламировать
aushandeln	торговаться
bewerten	оценивать, устанавливать цену
fair	справедливый, честный
gebraucht (Ich kaufe oft gebrauchte Schuhe.)	поддержанный, бывший в употреблении (Я часто покупаю ботинки, бывшие в употреблении.)
stehen, steht, stand, hat gestanden (Das Kleid steht dir super.)	идти, быть к лицу (об одежде) (Платье очень идёт тебе.)
der Tausch (Sg.)	обмен
wert	дорогой, стоящий, достойный
die Reklamation, -en	рекламация, претензия, жалоба
kaputt	сломанный
zuletzt	в последний раз
der Anruf, -e	звонок
der Elektroversand, "-e	отправка электротехники
die Rechnungsnummer, -n	номер счёта
der Reklamationsgrund, "-e	причина рекламации
schildern (jmd. ein Problem schildern)	описывать (описывать проблему)
das Telefongespräch, -e	телефонный разговор
verabschieden (sich) (von + D.)	прощаться
wie lange	как долго
die Bitte, -n	просьба, прошение
haben, hat, hatte, hat gehabt	иметь
das Leihgerät, -e	устройство на прокат
umtauschen	обменять
die Beschwerde, -n	жалоба
das Ersatzgerät, -e	устройство в замен
die Gutschrift, -en	кредитование
der Hersteller, -	производитель
hinweisen (auf + A.), weist hin, wies hin, hat hingewiesen	указывать, ссылаться
verbinden (mit + D.), verbindet, verband, hat verbunden (Könnten Sie mich mit Herrn Müller verbinden?)	соединить (Могли бы Вы соединить меня с господином Мюллером?)
verschicken	рассылать, отправлять
wenden (sich) (an + A.) (Bitte wenden Sie sich bei Problemen an den Hersteller des Produkts.)	обратиться (Пожалуйста, при обнаружении проблем обращайтесь к производителю продукта.)
auspacken	распаковывать
bestellen	заказывать
das Kaffeeservice, -s	кофейный сервиз
die Kamera, -s	камера
der Reißverschluss, "-e	молния (застёжка)
der Zoom (Sg.)	масштабирование
defekt	дефектный
der Ersatz (Sg.)	замена
hiermit	этим, вместе с этим
telefonisch	по телефону
der Textteil, -e	части текста
die Werbung (Sg.)	реклама
abkaufen (hier: jmd. etwas glauben) 	поверить к.-л. во ч.-л.
animieren (zu + D.)	побуждать
anschauen	смотреть, рассматривать
der Appell, -e	призыв, обращение
der/die Bäcker/in, -/-nen	пекарь
begrenzt	ограниченный
die Bergszene, -n (Der Werbespot zeigt spektakuläre Bergszenen.)	сцена в горах (Рекламный ролик показывает привлекательные сцены в горах.)
die Bettwäsche, -n	постельное бельё
das Bier, -e	пиво
bildschön	красивый (как на картинке)
die Botschaft, -en	послание, весть
braun gebrannt	загорелый, смуглый
die Distanz, -en	дистанция
der Duft, "-e	аромат
der Eingang, "-e	вход
der Einkauf, "-e	покупка
der Einkaufszettel, -	список покупок
einwickeln	одурачить, обвести вокруг пальца
die Entscheidung, -en	решение
das Erdgeschoss, -e	первый этаж
die Etage, -n	этаж
das Feuer, -	огонь, костёр
folglich	в дальнейшем, в будущем
das Gebackene (Sg.)	хлебобулочное изделие
gestapelt	сгруппированный, разложенный по группам
der Gipfel, -	вершина
glatt	гладкий, ровный
grüßen	приветствовать
hochheben, hebt hoch, hob hoch, hat hochgehoben	высоко поднимать, задирать
der Kauf, "-e	покупка
das Kaufhaus, "-er	торговый дом
die Kaufhausmusik (Sg.)	музыка в торговом доме
die Kauflaune, -n	настроение делать покупки
die Kinderaugen (PI.)	детские глаза
das Klischee, -s	клише
das Limit, -s	предел, лимит
die Menge (Sg.) (jede Menge)	масса, множество (большое количество)
die Möwe, -n	чайка
der Mund, "-er	рот
die Musik-CD, -s	музыкальный СО-диск
mutig	смелый
die Nase, -n	нос
der Nerv, -en	нерв
die Offenheit (Sg.)	открытость
das Ohr, -en	ухо
die Palme, -n	пальма
das Panorama, Panoramen	панорама
die Parfümerie, -n	парфюмерия
die Prärie, -n	прерия
die Sammlung, -en	собрание
sanft	мягко, нежно
schick	изящный, элегантный
schleichen, schleicht, schlich, ist geschlichen (Die Katze schleicht durch den Garten.)	ползти (Кошка ползает по саду.)
das Schnäppchen, -	выгодная покупка
segeln	парить
servieren	накрывать на стол
das Sonderangebot, -e	распродажа
der Sonnenuntergang, "-e	закат солнца
spektakulär	привлекающий внимание
der Standard, -s	стандарт
streicheln	гладить, ласкать
die Szene, -n	сцена
das Tal, "-er	долина
tanzen	танцевать
der Teppich, -e	ковёр
der Typ, -en (ein cooler Typ)	тип (клёвый тип)
das Verkaufsgespräch, -e	консультация продавца
versprühen	рассыпать, распылять, разбрасывать
voranbringen, bringt voran, brachte voran, hat vorangebracht	продвигать вперёд
der Vorrat, "-e	запас
die Ware, -n	товар, изделие
das Waschpulver, -	стиральный порошок
die Werbefalle, -n	рекламная ловушка
das Werbeklischee, -s	рекламное клише
der/die Werbende, -n	рекламирующий
der/die Werbepsychologe/Werbepsychologin, -n/nen	рекламный психолог
der Werbespot, -s	рекламный ролик
die Werbestrategie, -n	рекламная стратегия
die Wiese, -n	луг
zart	нежно
der Zeitschriftentext, -e	газетный текст
zusammenlaufen, läuft zusammen, lief zusammen, ist zusammengelaufen	бежать вместе
der Appetit (Sg.)	аппетит
etwas (etw.)	что-то
setzen	приводить в состояние (например, стресса)
die Einteilung, -en	предисловие, введение
die Zeilenangabe, -n	номер строки
daraufhin	после этого, на основании этого
die Werbefigur, -en	рекламный персонаж
die Werbekampagne, -n	рекламная кампания
der Werbeslogan, -s	рекламный лозунг
die Zeitung, -en	газета
das Werbeplakat, -e	рекламный плакат
die Radio-Werbung (Sg.)	реклама по радио
der Spot, -s	реклама, рекламный ролик
die Brillen-Fassung, -en	оправа для часов
der Cent, -s	цент
der Reisegutschein, -e	купон для путешествия
tagsüber	в течение дня
anfertigen (Diese Fabrik fertigt Schuhe an.)	изготавливать (Эта фабрика изготавливает ботинки.)
entwerfen, entwirf, entwarf, hat entworfen (Sie hat eine Skizze für das nächste Projekt entworfen.)	проектировать (Она сдела наброски для следующего проекта.)
der Radio-Spot, -s	рекламный ролик по радио
ansprechend (Diese Werbung ist besonders ansprechend.)	привлекательный (Эта реклама очень привлекательна.)
abhängig (von + D.) 	зависимый
austoben (sich) 	вдоволь нагуляться, перебеситься, дать свободу своим эмоциям
bedingungslos	безусловный, безоговорочный
die Berechnung, -en 	вычисление, расчёт
beruhen (auf + D.) 	основываться, держаться на
der Betrag, "-e	сумма, стоимость
die Bezahlung, -en	оплата
die Billion, -en	1'000'000'000'000
das Bruttosozialprodukt (Sg.)	воловой социальный продукт
der Drogeriemarkt, "-e	рынок парфюмерных и аптекарских товаров
einbringen (sich) (in + A.), bringt sich ein, brachte sich ein, hat sich eingebracht	вносить
die Einkommensteuer, -n	подоходный налог
ergeben, ergibt, ergab, hat ergeben	составлять, давать в итоге
die Erhöhung, -en	повышение
ermöglichen	делать возможным
der EU-Staat, -en	государство-член ЕС
die Existenz, -en	существование
exorbitant	чрезмерный, огромный
der Februar (Sg.)	февраль
die Filiale, -n	филиал
der Finanzierungsplan, "-e	план финансирования
das Finanzierungsproblem, -e	проблема финансирования
die Flatrate, -s	фиксированная цена
führen (ein Unternehmen führen)	руководить (руководить предприятием)
die Gleichheit (Sg.)	равенство
das Grundeinkommen, -	базовый доход
das Grundgehalt, "-er	основная зарплата (без премий)
das Gut, "-er	благо
hinauswachsen, wächst hinaus, wuchs hinaus, ist hinausgewachsen (über sich hinauswachsen)	перерастать, превосходить (превзойтисамого себя)
der Impuls, -e	импульс
die Initiative, -n	инициатива
die Initiativkraft, "-e	порыв инициативы
der/die Kaufmann/Kauffrau, "-er/-en	специалист по торговле
die Kette, -n (von diesem Drogeriemarkt gibt es eine ganze Kette.)	сеть (магазинов) (Существует целая сеть этих магазинов косметики.)
kompliziert	сложный, трудный
die Konsumsteuer, -	налог на предметы потребления
der Konzern, -e	концерн
kürzlich	недавно
das Leistungsvermögen (Sg.)	потенциал
die Mehrwertsteuer (Sg.)	НДС (налог на добавленную стоимость)
menschenwürdig	человеческий, достойный человека
die Milliarde, -n	миллиард
orientieren (sich) (an + D.)	ориентироваться
die Politik (Sg.)	политика
der/die Politiker/in, -/-nen	политик
der/die Querdenker/in, -/-nen	нестандартно мыслящий
rund (Hier arbeiten rund 200 Leute.)	приблизительно (Здесь работает около двухсот человек.)
die Sorge, -n	забота
die Sozialwirtschaft (Sg.)	общественное хозяйство
staatlich	государственный
stolz	гордый
das Stück, -e (aus eigenen Stücken)	вещь (по своеёб воле, добровольно)
subventionieren	выплатить пособие, предоставить субсидию
die Summe, -n	сумма
die Tendenz, -en	ътенденция
der/die Trägerl/in, -/-nen	носитель
traumhaft	сказочный
der Umsatz, "-e	оборот
umsetzbar	обратимый, способный к обращению
der Visionär, -e	духовидец, прорицатель
die Vorstellung, -en	представление
wagen	отважиться, решиться
wehen (Heute weht ganz schön der Wind draußen.)	дуть, веять (Сегодня так прекрасно дует ветерок на улице.)
der Wunschtraum, "-e	сокровенная мечта
zugleich	одновременно, в то же время
der Akku, -s (Der Akku von meinem Handy ist ständig leer.)	аккумулятор (Аккумулятор в моём телефоне постоянно разряжён.)
der Defekt, -e	дефект
gesprochen (die gesprochene Sprache)	устный, разговорный (разговорный язык)
das Andenken, - (aus jedem Urlaub bringe ich ein kleines Andenken mit.)	сувенир (Из каждого отпуска я привожу маленький сувенир.)
die Blume, -n	цветок
einpacken	укладывать, упаковывать
die Erinnerung, -en	воспоминание
exotisch	экзотический
das Experiment, -e	эксперимент
das Ferienhaus, "-er	дача
das Gepäck (Sg.)	багаж
gießen, gießt, goss, hat gegossen (die Blumen gießen)	полить (полить цветы)
herrlich	великолепный
die Kleinigkeit, -en	мелочь
die Kulturreise, -n	культурная поездка
der Kunstreiseführer, -	культурный путеводитель
das Mitbringsel, -	сувенир
die Pension, -en	пенсия
probieren	попробывать
die Reise, -n	поездка
der Reiseführer, -	путеводитель
der Reisetyp, -en	тип путешественника
der Schatz, "-e	сокровище, дорогой
der Szeneführer, -	путеводитель
der Touristen-Kram (Sg.)	туристический хлам
der Trip, -s	поездка, путешествие
die Vollpension (Sg.)	полный пансион
der Wanderführer, -	путеводитель
der Wein, -e	вино
das Zelt, -e	палатка
nachlesen, liest nach, las nach, hat nachgelesen	читать, ещё раз прочесть
zusammenzählen	подсчитать
die Gruppenreise, -n	групповая поездка
verreisen	уезжать, выезжать
dıe Region, -en	религия
das Fernweh (Sg.)	тяга к дальним странствиям, жажда путешествий
der Kilometer, - (km)	километр
der Kontinent, -e	континент
die Reihe, -n (Kennst du die neue Reihe im Fernsehen "Fernweh"?)	ряд, серия (Ты знаешь новую серию по телевизору "Жажда путешествий"?)
die Weltreise, -n	путешествие вокруг света
zurücklegen	проезжать, проходить
finanzieren	финансировать
das Sparziel, -e	цель сэкономить
die Beschaffung (Sg.)	доставка, обеспечение
detailliert	подробный, детальный
der/die Fremde, -n	чужбина, чужой край
das Reiseland, "-er	страна туризма
die Sehenswürdigkeit, -en	достопримечательность
der Strand, "-e	пляж, морское побережье
die Weiterreise, -n	дальнейшее путешествие, продолжение поездки
das Abi (Sg.)	экзамен на аттестат зрелости
der/die Anhalter/in, -/-nen (per Anhalter)	автостоп (автостопом)
der Hausrat (Sg.)	домашнее имущество
komplett	полностью, целиком
die Kontrolle, -n	контроль
packen (Mich packt regelmäßig das Reisefieber.)	захватывать, увлекать (Меня регулярно захватывает чемоданное настроение.)
die Radtour, -en	велотур
das Reisefieber (Sg.)	чемоданное настроение, волнение перед поездкой
die Reisevorbereitung, -en	подготовка к поездке
solange	до тех пор пока
das Startkapital (Sg.)	начальный капитал
treffen, trifft, traf, hat getroffen (Reisevorbereitungen treffen) (eomosumbca K noe3ÖKU)	последовательность, очерёдность (Вот правильная очерёдность: сперва встать, потом почистить зубы.)
die Abfolge (Sg.) (Das ist die richtige Abfolge: Erst aufstehen, dann Zähne putzen.)	событие
das Geschehen, -	действие
die Handlung, -en	промежуток времени
der Zeitraum, "-e	верблюд
das Kamel, -e	ездить верхом
reiten, reitet, ritt, ist geritten	передать другому
weitergeben, gibt weiter, gab weiter, hat weitergegeben	рукав (засучить рукава)
der Armel, - (die Armel hochkrempeln)	присутствовать, принимать участие
dabei sein	поле (Собирать цветы в поле.)
das Feld, -er (Blumen auf dem Feld pflücken)	деятельность в защиту мира
die Friedensarbeit (Sg.)	общественный
gesellschaftlich	засучить
hochkrempeln	детский сад
der Kindergarten, "schuften	вкалывать (усердно работать)
der/die Teilnehmer/in, -/-nen	участник
der Wald, "-er	лес
weiterbringen, bringt weiter, brachte weiter, hat weitergebracht (Wenn wir alle mit anpacken, bringen wir das Projekt schnell weiter.)	продвигать дальше (Если каждый возьмётся за дело, проект будет быстро продвигаться дальше.)
das Workcamp, -S	трудовой лагерь
das Camp, -s	лагерь
der/die Einheimische, -n	местный житель
die Trekkingtour, -en	треккинг-тур, многодневный поход в горы
die Ablehnung, -en	отклонение, отказ
ausnutzen	использовать, эксплуатировать
bezweifeln	сомневаться
die Erholung (Sg.)	отдых, поправка
übertrieben (Deine Vorwürfe sind wirklich übertrieben.)	преувеличенный (Твои упрёки действительно преувеличены.)
die Zustimmung (Sg.)	согласие
die Ausbeutung (Sg.)	эксплуатация, использование в корыстных целях
der Blogbeitrag, "-e	сообщение в боле, пост
bringen, bringt, brachte, hat gebracht (Was soll mir das bringen?)	приносить (Что мне это даст? Какой мне от этого прок?)
das Gemüse (Sg.)	овощи
interkulturell	межкультурный
das Obst (Sg.)	фрукты
die Pflanze, -n	растение
pflanzen	сажать (растение)
treffen, trifft, traf, hat getroffen (den Geschmack von jmd. treffen)	попадать, относиться (угадать вкус к.л.)
das Au-Pair, -s	на взаимной основе, услуга за услугу
die Gastfamilie, -n	принимающая семья
die Kultur, -en	культура
der Sprachkurs, -e	курс иностранного языка
der Ärger (Sg.)	гнев, неприятность
die Abreise (Sg.)	отъезд
der Auszug, "-e (Lesen Sie den Auszug aus dem Text.)	отрывок (Прочтите отрывок из текста.)
der Direktflug, "-e	прямой рейс (о самолёте)
das Doppelzimmer, -	двухместный номер
die Flugdaten (PI.)	данные полёта
der Hinflug, "-e	полёт (туда)
die Meerseite (Sg.)	сторона здания, обращённая к морю (вид на море)
der Naturstrand, "-e	естественное побережье
das Reiseangebot, -e	путёвка, туристическое предложение
der Rückflug, "-e	обратный самолёт
der Transfer, -s	переход
verkehrsgünstig	удобно расположенный (относительно транспортного сообщения)
die Verpflegung, -en	продовольствие, питание
anderthalb (= 1,5)	полтора
die Ankunft, "-e	прибытие
die Auflistung, -en	перечень
ausschließen, schließt aus, schloss aus, hat ausgeschlossen	исключить, отстранить
die Badelatschen, -	купальные тапочки
der Badestrand, "-e	пляж
die Baustelle, -n	строительный участок, стройка
berechtigt	оправданный, справедливый
die Buchung, -en	бранирование
dazugehörig	относящийся к
eingehen (bei + D.), geht ein, ging ein, ist eingegangen (beim Veranstalter gehen viele Beschwerden ein.)	поступать, приходить (Организатору приходит много жалоб.)
entschädigungslos	без обязательства возмещения ущерба
enttäuscht	разочарованный
erheblich	значительный, существенный
der Fels, -en	скала, утёс
der Ferienort. -e	место отдыха, курорт
der/die Flieger/in, -/-nen	самолёт
der Flughafen, "-	аэропорт
der Fluglärm (Sg.)	шум самолёта, шум полёта
geboten (Hier ist Vorsicht geboten.)	желательный, требуемый (Здесь рекомендуется осторожность.)
das Gericht, -e (Viele Streitereien landen vor Gericht.)	суд (Многие конфронтации заканчиваются судом.)
geringfügig	незначительный
der Hafen, "-	порт
die Hauptverkehrsstraße, -n	магистраль
hinnehmen, nimmt hin, nahm hin, hat hingenommen (Diesen Mangel musst du einfach hinnehmen.)	принять, смириться (Ты должен просто смириться с этим недостатком.)
die Internetseite, -n	страница в интернете
der Katalog, -e	каталог
der Koffer, -	чемодан
der Lärm (Sg.)	шум
der Mangel, "-	недостаток, дефект
der Meerblick (Sg.)	вид на море
nachfragen	осведомляться, разузнавать
die Non-Stop-Verbindung, -en	безостановочное соединение, прямой рейс
packen (den Koffer packen)	укладывать, упаковывать (собирать чемодан)
die Preisminderung, -en	снижение цен, уценка
der Prospekt, -e	буклет, план
rechnen	рассчитывать, принимать в рассчёт
der Reisemangel, "-	недостатки поездки
der Reisepreis, -e	цена поездки
der Reiseveranstalter, -	организатор поездки
reklamieren	заявлять рекламацию (претензию)
stammen (aus/von + D.)	происходить из
die Steilküste, -n	крутой (обрывистый) берег
die Streiterei, -en	беспрерывные ссоры
der Streitfall, "-e	конфликтная ситуация, спорный случай
überbucht (Das Flugzeug war komplett überbucht und wir mussten umbuchen.)	забронирован в избытке (На самолёт было забранировано больше мест, чем есть на самом деле, и нам пришлось перенести дату поездки.)
die Umgangssprache (Sg.)	разговорный язык
die Unannehmlichkeit, -en	неприятность
der/die Urlauber/in, -/-nen	отпускник
der Urlaubsort, -e	место отдыха, курорт
die Urlaubszeit, -en	время отпуска, отпуск
vermeiden, vermeidet, vermied, hat vermieden	избегать
verspätet	опоздавший
die Verspätung, -en	опоздание
verstellt (Der Weg zur Tür ist durch Tische verstellt.)	загораживать, заставлять (Пусть к двери заставлен столами.)
die Vorsicht (Sg.)	осторожность
die Wartezeit, -en	время ожидания
zurückfordern	требовать возврата
zurückhaben, hat zurück, hatte zurück, hat zurückgehabt	получить обратно
die Zwischenlandung, -en	промежуточная посадка
abgelegen (Was? Wir müssen 20 Minuten laufen? Das Hotel ist ganz schön weit abgelegen.)	отдалённый, далёкий (Что? Нам нужно идти 20 минут? Как-то далековато расположен этот отель.)
ausgestattet sein	быть оборудованным, оснащённым
eingerichtet	устроенный, оборудованный
die Ferienanlage, -n	гостиничный комплекс
geeignet	подходящий, соответствующий
die Lärmbelästigung, -en	вредное воздействие шума
der Leihwagen, -	автомобиль, взятый напрокат
das Reiseprospekt, -e	путеводитель
die Strandnähe (Sg.)	прибрежная часть
unaufdringlich	скромный
zweckmäßig	целесообразный
